frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
0,happy,3.8108822764115757e-07,5.733531291613522e-13,5.281626802577932e-08,99.99746084213257,3.469424081359307e-07,1.7704991250866442e-06,0.0025380091756233014,0.94,"{'x': 511, 'y': 229, 'w': 688, 'h': 688, 'left_eye': (962, 475), 'right_eye': (728, 501)}","{'angry': 3.8108822764115757e-07, 'disgust': 5.733531291613522e-13, 'fear': 5.281626802577932e-08, 'happy': 99.99746084213257, 'sad': 3.469424081359307e-07, 'surprise': 1.7704991250866442e-06, 'neutral': 0.0025380091756233014}",Investor 2
1,happy,3.034123841061387e-07,7.129109445894166e-14,2.839467723447786e-09,99.99877214431763,4.731935954183086e-08,4.032023603883772e-07,0.0012312973012740258,0.94,"{'x': 520, 'y': 235, 'w': 673, 'h': 673, 'left_eye': (961, 476), 'right_eye': (730, 501)}","{'angry': 3.034123841061387e-07, 'disgust': 7.129109445894166e-14, 'fear': 2.839467723447786e-09, 'happy': 99.99877214431763, 'sad': 4.731935954183086e-08, 'surprise': 4.032023603883772e-07, 'neutral': 0.0012312973012740258}",Investor 2
2,happy,7.415983938052761e-08,7.330993078487769e-13,1.839593581631771e-09,99.99614953994751,5.4588239484232304e-08,4.292232347324898e-07,0.003852739610010758,0.94,"{'x': 530, 'y': 235, 'w': 667, 'h': 667, 'left_eye': (959, 475), 'right_eye': (730, 501)}","{'angry': 7.415983938052761e-08, 'disgust': 7.330993078487769e-13, 'fear': 1.839593581631771e-09, 'happy': 99.99614953994751, 'sad': 5.4588239484232304e-08, 'surprise': 4.292232347324898e-07, 'neutral': 0.003852739610010758}",Investor 2
3,happy,8.939090889630061e-07,9.970371815107145e-15,3.3869829100666275e-09,99.99935030933322,1.6394109270292435e-08,3.290747648455238e-07,0.0006517840508561853,0.94,"{'x': 521, 'y': 241, 'w': 665, 'h': 665, 'left_eye': (961, 476), 'right_eye': (728, 501)}","{'angry': 8.939090889630061e-07, 'disgust': 9.970371815107145e-15, 'fear': 3.3869829100666275e-09, 'happy': 99.99935030933322, 'sad': 1.6394109270292435e-08, 'surprise': 3.290747648455238e-07, 'neutral': 0.0006517840508561853}",Investor 2
4,happy,3.3021116699680445e-07,1.3073231364240067e-15,7.555556457578937e-10,99.99962449071553,9.507374621379503e-09,7.801174060986619e-08,0.0003754062841859434,0.94,"{'x': 519, 'y': 238, 'w': 671, 'h': 671, 'left_eye': (961, 472), 'right_eye': (729, 498)}","{'angry': 3.3021116699680445e-07, 'disgust': 1.3073231364240067e-15, 'fear': 7.555556457578937e-10, 'happy': 99.99962449071553, 'sad': 9.507374621379503e-09, 'surprise': 7.801174060986619e-08, 'neutral': 0.0003754062841859434}",Investor 2
5,happy,5.368334665689645e-07,7.821418193395974e-15,4.5142336049797116e-10,99.99744892120361,4.627897232101219e-08,4.776089301827824e-07,0.0025552912120474502,0.94,"{'x': 525, 'y': 239, 'w': 666, 'h': 666, 'left_eye': (961, 474), 'right_eye': (729, 498)}","{'angry': 5.368334665689645e-07, 'disgust': 7.821418193395974e-15, 'fear': 4.5142336049797116e-10, 'happy': 99.99744892120361, 'sad': 4.627897232101219e-08, 'surprise': 4.776089301827824e-07, 'neutral': 0.0025552912120474502}",Investor 2
6,happy,1.709437277036224e-08,5.09272204057308e-15,9.491064750286225e-10,99.99828934659298,1.1702928213504131e-08,1.055504857591078e-07,0.0017105959269480215,0.94,"{'x': 518, 'y': 234, 'w': 671, 'h': 671, 'left_eye': (964, 472), 'right_eye': (729, 498)}","{'angry': 1.709437277036224e-08, 'disgust': 5.09272204057308e-15, 'fear': 9.491064750286225e-10, 'happy': 99.99828934659298, 'sad': 1.1702928213504131e-08, 'surprise': 1.055504857591078e-07, 'neutral': 0.0017105959269480215}",Investor 2
7,happy,2.1600443655955814e-07,4.704706200925592e-15,2.3875948093610155e-09,99.99841451644897,1.499114998804174e-08,6.473743319190817e-07,0.0015837336832191795,0.94,"{'x': 521, 'y': 236, 'w': 666, 'h': 666, 'left_eye': (966, 475), 'right_eye': (730, 496)}","{'angry': 2.1600443655955814e-07, 'disgust': 4.704706200925592e-15, 'fear': 2.3875948093610155e-09, 'happy': 99.99841451644897, 'sad': 1.499114998804174e-08, 'surprise': 6.473743319190817e-07, 'neutral': 0.0015837336832191795}",Investor 2
8,happy,6.967301180438312e-08,1.7870560500467095e-15,1.727051487931952e-09,99.99926090240479,6.564297716504797e-09,1.6128640645263204e-07,0.0007377825568255503,0.94,"{'x': 518, 'y': 237, 'w': 668, 'h': 668, 'left_eye': (965, 470), 'right_eye': (729, 496)}","{'angry': 6.967301180438312e-08, 'disgust': 1.7870560500467095e-15, 'fear': 1.727051487931952e-09, 'happy': 99.99926090240479, 'sad': 6.564297716504797e-09, 'surprise': 1.6128640645263204e-07, 'neutral': 0.0007377825568255503}",Investor 2
9,happy,4.6317416553973e-08,1.1358159281285542e-14,2.1883128559043196e-09,99.99713301641542,1.7800641189574414e-08,3.5622167340821406e-07,0.002868609943104476,0.94,"{'x': 519, 'y': 233, 'w': 669, 'h': 669, 'left_eye': (966, 472), 'right_eye': (730, 496)}","{'angry': 4.6317416553973e-08, 'disgust': 1.1358159281285542e-14, 'fear': 2.1883128559043196e-09, 'happy': 99.99713301641542, 'sad': 1.7800641189574414e-08, 'surprise': 3.5622167340821406e-07, 'neutral': 0.002868609943104476}",Investor 2
10,happy,3.71356034741838e-07,4.685355086072207e-14,5.944109708330103e-10,99.99857544890496,5.5112245832340723e-08,1.6294668808495694e-07,0.0014246390431846014,0.93,"{'x': 523, 'y': 234, 'w': 674, 'h': 674, 'left_eye': (965, 471), 'right_eye': (729, 495)}","{'angry': 3.71356034741838e-07, 'disgust': 4.685355086072207e-14, 'fear': 5.944109708330103e-10, 'happy': 99.99857544890496, 'sad': 5.5112245832340723e-08, 'surprise': 1.6294668808495694e-07, 'neutral': 0.0014246390431846014}",Investor 2
11,happy,9.789201671495107e-08,6.369546944124858e-14,1.0875447764568946e-08,99.99433755874634,1.0566132413458718e-07,7.885150310471545e-07,0.005665898788720369,0.93,"{'x': 513, 'y': 230, 'w': 677, 'h': 677, 'left_eye': (967, 470), 'right_eye': (731, 495)}","{'angry': 9.789201671495107e-08, 'disgust': 6.369546944124858e-14, 'fear': 1.0875447764568946e-08, 'happy': 99.99433755874634, 'sad': 1.0566132413458718e-07, 'surprise': 7.885150310471545e-07, 'neutral': 0.005665898788720369}",Investor 2
12,happy,2.8720261724402008e-06,1.6263747271331812e-13,4.516405582855043e-08,99.99871253967285,1.0389886728745523e-07,1.6790348666972932e-06,0.0012890568541479297,0.93,"{'x': 519, 'y': 236, 'w': 670, 'h': 670, 'left_eye': (969, 471), 'right_eye': (733, 494)}","{'angry': 2.8720261724402008e-06, 'disgust': 1.6263747271331812e-13, 'fear': 4.516405582855043e-08, 'happy': 99.99871253967285, 'sad': 1.0389886728745523e-07, 'surprise': 1.6790348666972932e-06, 'neutral': 0.0012890568541479297}",Investor 2
13,happy,1.4962960870334996e-07,1.0592254869766903e-14,2.3730437753721745e-09,99.99936819076538,3.9969838550035774e-08,3.2952138795394603e-07,0.000636429422229412,0.93,"{'x': 515, 'y': 235, 'w': 672, 'h': 672, 'left_eye': (967, 468), 'right_eye': (732, 493)}","{'angry': 1.4962960870334996e-07, 'disgust': 1.0592254869766903e-14, 'fear': 2.3730437753721745e-09, 'happy': 99.99936819076538, 'sad': 3.9969838550035774e-08, 'surprise': 3.2952138795394603e-07, 'neutral': 0.000636429422229412}",Investor 2
14,happy,5.849864053233606e-07,9.474585534426807e-15,7.680245092489566e-09,99.99873042099061,3.2320484327988716e-08,5.2524525639851e-07,0.0012719873515024693,0.93,"{'x': 522, 'y': 235, 'w': 664, 'h': 664, 'left_eye': (966, 469), 'right_eye': (735, 493)}","{'angry': 5.849864053233606e-07, 'disgust': 9.474585534426807e-15, 'fear': 7.680245092489566e-09, 'happy': 99.99873042099061, 'sad': 3.2320484327988716e-08, 'surprise': 5.2524525639851e-07, 'neutral': 0.0012719873515024693}",Investor 2
15,happy,0.001697940388112329,2.0904115771713805e-06,0.3981570713222027,83.51005911827087,0.4923481959849596,0.007531895244028419,15.590201318264008,0.92,"{'x': 523, 'y': 235, 'w': 663, 'h': 663, 'left_eye': (725, 494), 'right_eye': (738, 497)}","{'angry': 0.001697940388112329, 'disgust': 2.0904115771713805e-06, 'fear': 0.3981570713222027, 'happy': 83.51005911827087, 'sad': 0.4923481959849596, 'surprise': 0.007531895244028419, 'neutral': 15.590201318264008}",Investor 2
16,happy,1.2117593207248513e-07,2.3518209995489102e-14,2.026551963795953e-08,99.77367518983336,5.727019555775727e-06,1.436560467387996e-05,0.2263092803617883,0.92,"{'x': 524, 'y': 234, 'w': 663, 'h': 663, 'left_eye': None, 'right_eye': None}","{'angry': 1.2117593207248513e-07, 'disgust': 2.3518209995489102e-14, 'fear': 2.026551963795953e-08, 'happy': 99.77367518983336, 'sad': 5.727019555775727e-06, 'surprise': 1.436560467387996e-05, 'neutral': 0.2263092803617883}",Investor 2
17,happy,2.8384877781562068e-08,6.7216021596679186e-15,3.827440794856862e-09,99.82321858406067,2.1685027107309907e-06,7.544545610471687e-06,0.17677522264420986,0.92,"{'x': 524, 'y': 235, 'w': 659, 'h': 659, 'left_eye': None, 'right_eye': None}","{'angry': 2.8384877781562068e-08, 'disgust': 6.7216021596679186e-15, 'fear': 3.827440794856862e-09, 'happy': 99.82321858406067, 'sad': 2.1685027107309907e-06, 'surprise': 7.544545610471687e-06, 'neutral': 0.17677522264420986}",Investor 2
18,happy,3.6457847157889134e-09,2.129092379564273e-16,2.3067021383271769e-10,99.9601423740387,1.5478160975135324e-07,1.5104975048529923e-06,0.03985605726484209,0.92,"{'x': 519, 'y': 231, 'w': 669, 'h': 669, 'left_eye': None, 'right_eye': None}","{'angry': 3.6457847157889134e-09, 'disgust': 2.129092379564273e-16, 'fear': 2.3067021383271769e-10, 'happy': 99.9601423740387, 'sad': 1.5478160975135324e-07, 'surprise': 1.5104975048529923e-06, 'neutral': 0.03985605726484209}",Investor 2
19,happy,4.503491181950083e-08,8.098914478234385e-13,5.507278295257825e-08,99.99217390967452,8.267060418270441e-07,5.720389392295318e-07,0.007826589456202206,0.92,"{'x': 516, 'y': 222, 'w': 681, 'h': 681, 'left_eye': (980, 464), 'right_eye': (737, 492)}","{'angry': 4.503491181950083e-08, 'disgust': 8.098914478234385e-13, 'fear': 5.507278295257825e-08, 'happy': 99.99217390967452, 'sad': 8.267060418270441e-07, 'surprise': 5.720389392295318e-07, 'neutral': 0.007826589456202206}",Investor 2
20,happy,2.1451660447979748e-07,2.909574775664288e-12,1.0062862765281011e-07,99.98453855514526,1.714947472919448e-06,1.4610338716636306e-06,0.01545897830510512,0.92,"{'x': 516, 'y': 222, 'w': 679, 'h': 679, 'left_eye': (977, 468), 'right_eye': (739, 490)}","{'angry': 2.1451660447979748e-07, 'disgust': 2.909574775664288e-12, 'fear': 1.0062862765281011e-07, 'happy': 99.98453855514526, 'sad': 1.714947472919448e-06, 'surprise': 1.4610338716636306e-06, 'neutral': 0.01545897830510512}",Investor 2
21,happy,1.8346378843862826e-07,3.2041626580190364e-11,6.125235795069287e-07,99.99371170960138,2.18213122810371e-06,1.5767441626244411e-06,0.006291073452568335,0.91,"{'x': 510, 'y': 213, 'w': 697, 'h': 697, 'left_eye': (966, 465), 'right_eye': (734, 491)}","{'angry': 1.8346378843862826e-07, 'disgust': 3.2041626580190364e-11, 'fear': 6.125235795069287e-07, 'happy': 99.99371170960138, 'sad': 2.18213122810371e-06, 'surprise': 1.5767441626244411e-06, 'neutral': 0.006291073452568335}",Investor 2
22,happy,2.5871093477451705e-07,8.925832475158624e-12,1.5528629308744144e-07,99.9968945978221,1.2276012050297801e-06,1.0977859276472359e-06,0.0031075202092819784,0.92,"{'x': 513, 'y': 214, 'w': 693, 'h': 693, 'left_eye': (966, 465), 'right_eye': (732, 489)}","{'angry': 2.5871093477451705e-07, 'disgust': 8.925832475158624e-12, 'fear': 1.5528629308744144e-07, 'happy': 99.9968945978221, 'sad': 1.2276012050297801e-06, 'surprise': 1.0977859276472359e-06, 'neutral': 0.0031075202092819784}",Investor 2
