frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
0,no dominant emotion detected,28.821483254432678,0.10328745702281594,3.081735037267208,0.1174330129288137,38.55801224708557,0.03824924642685801,29.27979826927185,0.91,"{'x': 635, 'y': 201, 'w': 625, 'h': 625, 'left_eye': None, 'right_eye': None}","{'angry': 28.821483254432678, 'disgust': 0.10328745702281594, 'fear': 3.081735037267208, 'happy': 0.1174330129288137, 'sad': 38.55801224708557, 'surprise': 0.03824924642685801, 'neutral': 29.27979826927185}",Investor 1
1,sad,28.83509867400519,0.0026009347224815954,1.7609120464868573,0.010283405457751778,52.57617548562142,0.00025606858960755844,16.8146739491626,0.92,"{'x': 620, 'y': 187, 'w': 648, 'h': 648, 'left_eye': None, 'right_eye': None}","{'angry': 28.83509867400519, 'disgust': 0.0026009347224815954, 'fear': 1.7609120464868573, 'happy': 0.010283405457751778, 'sad': 52.57617548562142, 'surprise': 0.00025606858960755844, 'neutral': 16.8146739491626}",Investor 1
2,no dominant emotion detected,42.563685331564265,0.48531930061097744,5.159605229473426,0.04405795451692221,46.4612660682956,0.020411182538434568,5.265659780243622,0.93,"{'x': 625, 'y': 195, 'w': 634, 'h': 634, 'left_eye': None, 'right_eye': None}","{'angry': 42.563685331564265, 'disgust': 0.48531930061097744, 'fear': 5.159605229473426, 'happy': 0.04405795451692221, 'sad': 46.4612660682956, 'surprise': 0.020411182538434568, 'neutral': 5.265659780243622}",Investor 1
3,sad,30.650195479393005,0.2379735466092825,5.29148168861866,0.07114935433492064,52.616846561431885,0.021371894399635494,11.110974103212357,0.92,"{'x': 627, 'y': 201, 'w': 631, 'h': 631, 'left_eye': None, 'right_eye': None}","{'angry': 30.650195479393005, 'disgust': 0.2379735466092825, 'fear': 5.29148168861866, 'happy': 0.07114935433492064, 'sad': 52.616846561431885, 'surprise': 0.021371894399635494, 'neutral': 11.110974103212357}",Investor 1
4,no dominant emotion detected,41.408705711364746,1.3112991116940975,5.87267242372036,0.05438774824142456,43.09243559837341,0.06925071938894689,8.191253244876862,0.93,"{'x': 626, 'y': 205, 'w': 625, 'h': 625, 'left_eye': None, 'right_eye': None}","{'angry': 41.408705711364746, 'disgust': 1.3112991116940975, 'fear': 5.87267242372036, 'happy': 0.05438774824142456, 'sad': 43.09243559837341, 'surprise': 0.06925071938894689, 'neutral': 8.191253244876862}",Investor 1
5,no dominant emotion detected,35.02168357372284,0.0795111118350178,4.124106466770172,0.022575219918508083,33.10592174530029,0.04218362155370414,27.604016661643982,0.93,"{'x': 639, 'y': 215, 'w': 609, 'h': 609, 'left_eye': None, 'right_eye': None}","{'angry': 35.02168357372284, 'disgust': 0.0795111118350178, 'fear': 4.124106466770172, 'happy': 0.022575219918508083, 'sad': 33.10592174530029, 'surprise': 0.04218362155370414, 'neutral': 27.604016661643982}",Investor 1
6,no dominant emotion detected,36.20158135890961,0.15258383937180042,1.745513267815113,0.01515046606073156,34.26624536514282,0.017241103341802955,27.601680159568787,0.92,"{'x': 639, 'y': 216, 'w': 616, 'h': 616, 'left_eye': None, 'right_eye': None}","{'angry': 36.20158135890961, 'disgust': 0.15258383937180042, 'fear': 1.745513267815113, 'happy': 0.01515046606073156, 'sad': 34.26624536514282, 'surprise': 0.017241103341802955, 'neutral': 27.601680159568787}",Investor 1
7,no dominant emotion detected,41.54835146089179,0.18222951486205877,2.8170921275505867,0.010812337298198442,35.3475051704043,0.013361174068199208,20.080642988605142,0.94,"{'x': 635, 'y': 210, 'w': 624, 'h': 624, 'left_eye': None, 'right_eye': None}","{'angry': 41.54835146089179, 'disgust': 0.18222951486205877, 'fear': 2.8170921275505867, 'happy': 0.010812337298198442, 'sad': 35.3475051704043, 'surprise': 0.013361174068199208, 'neutral': 20.080642988605142}",Investor 1
8,angry,54.199818027008654,0.25182740401192927,4.919427926506277,0.0660615139435389,31.81295882540696,0.0703299692842346,8.679582695936125,0.95,"{'x': 636, 'y': 207, 'w': 627, 'h': 627, 'left_eye': (1070, 435), 'right_eye': (675, 415)}","{'angry': 54.199818027008654, 'disgust': 0.25182740401192927, 'fear': 4.919427926506277, 'happy': 0.0660615139435389, 'sad': 31.81295882540696, 'surprise': 0.0703299692842346, 'neutral': 8.679582695936125}",Investor 1
9,no dominant emotion detected,49.85454082489014,0.04807052027899772,2.029692195355892,0.04070710274390876,32.803428173065186,0.015577040903735906,15.207985043525696,0.93,"{'x': 648, 'y': 212, 'w': 615, 'h': 615, 'left_eye': (1071, 437), 'right_eye': (676, 419)}","{'angry': 49.85454082489014, 'disgust': 0.04807052027899772, 'fear': 2.029692195355892, 'happy': 0.04070710274390876, 'sad': 32.803428173065186, 'surprise': 0.015577040903735906, 'neutral': 15.207985043525696}",Investor 1
10,angry,69.51691508293152,0.3550837514922023,2.8103001415729523,0.009452621452510357,21.40795886516571,0.022446049842983484,5.877844616770744,0.95,"{'x': 657, 'y': 216, 'w': 606, 'h': 606, 'left_eye': (1074, 436), 'right_eye': (684, 420)}","{'angry': 69.51691508293152, 'disgust': 0.3550837514922023, 'fear': 2.8103001415729523, 'happy': 0.009452621452510357, 'sad': 21.40795886516571, 'surprise': 0.022446049842983484, 'neutral': 5.877844616770744}",Investor 1
11,no dominant emotion detected,33.368705705558575,0.07133264175562361,3.3119968847040075,0.03472722769241301,36.28522917208324,0.024736043958725754,26.90326548775846,0.93,"{'x': 659, 'y': 218, 'w': 604, 'h': 604, 'left_eye': None, 'right_eye': None}","{'angry': 33.368705705558575, 'disgust': 0.07133264175562361, 'fear': 3.3119968847040075, 'happy': 0.03472722769241301, 'sad': 36.28522917208324, 'surprise': 0.024736043958725754, 'neutral': 26.90326548775846}",Investor 1
12,no dominant emotion detected,38.92613649368286,0.14785469975322485,2.833954431116581,0.06163656362332404,38.757407665252686,0.03860028518829495,19.2344069480896,0.91,"{'x': 658, 'y': 210, 'w': 619, 'h': 619, 'left_eye': None, 'right_eye': None}","{'angry': 38.92613649368286, 'disgust': 0.14785469975322485, 'fear': 2.833954431116581, 'happy': 0.06163656362332404, 'sad': 38.757407665252686, 'surprise': 0.03860028518829495, 'neutral': 19.2344069480896}",Investor 1
13,no dominant emotion detected,39.25593623448179,0.06671773522173044,3.2306726895960938,0.029401393245553284,36.91196299648726,0.01928249173270637,20.48602307009422,0.9,"{'x': 664, 'y': 208, 'w': 617, 'h': 617, 'left_eye': None, 'right_eye': None}","{'angry': 39.25593623448179, 'disgust': 0.06671773522173044, 'fear': 3.2306726895960938, 'happy': 0.029401393245553284, 'sad': 36.91196299648726, 'surprise': 0.01928249173270637, 'neutral': 20.48602307009422}",Investor 1
14,no dominant emotion detected,40.32730277451244,0.05084826237654538,1.9145074812164926,0.012351798051008814,29.342811782024885,0.012218143091143746,28.339951832300205,0.91,"{'x': 679, 'y': 210, 'w': 604, 'h': 604, 'left_eye': None, 'right_eye': None}","{'angry': 40.32730277451244, 'disgust': 0.05084826237654538, 'fear': 1.9145074812164926, 'happy': 0.012351798051008814, 'sad': 29.342811782024885, 'surprise': 0.012218143091143746, 'neutral': 28.339951832300205}",Investor 1
15,no dominant emotion detected,37.202537059783936,0.1521013444289565,3.2427653670310974,0.04103817627765238,36.0299289226532,0.04415911098476499,23.287470638751984,0.9,"{'x': 680, 'y': 204, 'w': 598, 'h': 598, 'left_eye': None, 'right_eye': None}","{'angry': 37.202537059783936, 'disgust': 0.1521013444289565, 'fear': 3.2427653670310974, 'happy': 0.04103817627765238, 'sad': 36.0299289226532, 'surprise': 0.04415911098476499, 'neutral': 23.287470638751984}",Investor 1
16,no dominant emotion detected,33.12699697887933,0.13264957398255778,4.028244953960781,0.03487700471723768,33.24008187769867,0.04603255398835343,29.391112400160743,0.91,"{'x': 679, 'y': 201, 'w': 604, 'h': 604, 'left_eye': None, 'right_eye': None}","{'angry': 33.12699697887933, 'disgust': 0.13264957398255778, 'fear': 4.028244953960781, 'happy': 0.03487700471723768, 'sad': 33.24008187769867, 'surprise': 0.04603255398835343, 'neutral': 29.391112400160743}",Investor 1
17,no dominant emotion detected,26.788328694601578,0.10261343006720722,1.6559879351251086,0.04814513663881342,27.67239675953369,0.046666627038888756,43.685868006102325,0.91,"{'x': 700, 'y': 213, 'w': 575, 'h': 575, 'left_eye': None, 'right_eye': None}","{'angry': 26.788328694601578, 'disgust': 0.10261343006720722, 'fear': 1.6559879351251086, 'happy': 0.04814513663881342, 'sad': 27.67239675953369, 'surprise': 0.046666627038888756, 'neutral': 43.685868006102325}",Investor 1
18,no dominant emotion detected,32.910650892970125,0.9982061494659452,3.3696065162908764,0.051830380644121286,39.67804128134989,0.10069260078759804,22.890978674467565,0.93,"{'x': 695, 'y': 204, 'w': 583, 'h': 583, 'left_eye': None, 'right_eye': None}","{'angry': 32.910650892970125, 'disgust': 0.9982061494659452, 'fear': 3.3696065162908764, 'happy': 0.051830380644121286, 'sad': 39.67804128134989, 'surprise': 0.10069260078759804, 'neutral': 22.890978674467565}",Investor 1
19,no dominant emotion detected,30.740883262052147,0.2909838806409978,1.8568670026222465,0.024835017343161424,27.85619463250701,0.04767526711576228,39.182553984814405,0.92,"{'x': 697, 'y': 198, 'w': 588, 'h': 588, 'left_eye': None, 'right_eye': None}","{'angry': 30.740883262052147, 'disgust': 0.2909838806409978, 'fear': 1.8568670026222465, 'happy': 0.024835017343161424, 'sad': 27.85619463250701, 'surprise': 0.04767526711576228, 'neutral': 39.182553984814405}",Investor 1
20,no dominant emotion detected,40.54375701621091,4.326279690709151,20.9568699053681,0.011968737118180514,28.53607791232134,0.4521011767266778,5.172938609368967,0.92,"{'x': 688, 'y': 182, 'w': 608, 'h': 608, 'left_eye': None, 'right_eye': None}","{'angry': 40.54375701621091, 'disgust': 4.326279690709151, 'fear': 20.9568699053681, 'happy': 0.011968737118180514, 'sad': 28.53607791232134, 'surprise': 0.4521011767266778, 'neutral': 5.172938609368967}",Investor 1
21,neutral,24.71131533384323,0.04327225033193827,0.8225805126130581,0.01880109921330586,17.746983468532562,0.014139761333353817,56.6429078578949,0.92,"{'x': 713, 'y': 190, 'w': 579, 'h': 579, 'left_eye': None, 'right_eye': None}","{'angry': 24.71131533384323, 'disgust': 0.04327225033193827, 'fear': 0.8225805126130581, 'happy': 0.01880109921330586, 'sad': 17.746983468532562, 'surprise': 0.014139761333353817, 'neutral': 56.6429078578949}",Investor 1
22,no dominant emotion detected,34.54761505126953,0.43886080384254456,3.487801179289818,0.035236039548181,32.76606500148773,0.1706081093288958,28.55381965637207,0.94,"{'x': 704, 'y': 182, 'w': 591, 'h': 591, 'left_eye': None, 'right_eye': None}","{'angry': 34.54761505126953, 'disgust': 0.43886080384254456, 'fear': 3.487801179289818, 'happy': 0.035236039548181, 'sad': 32.76606500148773, 'surprise': 0.1706081093288958, 'neutral': 28.55381965637207}",Investor 1
